sku,description,product_family,component_type,colour,price_aud_ex_gst,supplier_url,image_url
STG-2521-VJA-P,Summit - 25x21mm - Vertical Joiner - POL,SUMMIT 25x21mm,Vertical Joiner - Adjustable,Polished,10.82,https://glassoutletonline.com.au/product/-/stg-2521-vja-p,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-VJA-P.JPG
STG-2521-VJA-S,Summit - 25x21mm - Vertical Joiner - SAT,SUMMIT 25x21mm,Vertical Joiner - Adjustable,Satin,10.82,https://glassoutletonline.com.au/product/-/stg-2521-vja-s,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-VJA-S.JPG
STG-2521-WP-B,SUMMIT 25x21mm Wall Plate - BLACK,SUMMIT 25x21mm,Wall Plate,Black,10.82,https://glassoutletonline.com.au/product/-/stg-2521-wp-b,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-B.JPG
STG-2521-WP-HA-L-B,Summit-25x21 Wall Horiz Adj- LEFT- BLK,SUMMIT 25x21mm,Wall Plate - Horizontal Adjustable (Left),Black,12.53,https://glassoutletonline.com.au/product/-/stg-2521-wp-ha-l-b,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-HA-L-B.JPG
STG-2521-WP-HA-L-P,Summit- 25x21 Wall Horiz Adj- LEFT- POL,SUMMIT 25x21mm,Wall Plate - Horizontal Adjustable (Left),Polished,11.25,https://glassoutletonline.com.au/product/-/stg-2521-wp-ha-l-p,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-HA-L-P.JPG
STG-2521-WP-HA-L-S,Summit-25x21 Wall Horiz Adj- LEFT- SATIN,SUMMIT 25x21mm,Wall Plate - Horizontal Adjustable (Left),Satin,11.25,https://glassoutletonline.com.au/product/-/stg-2521-wp-ha-l-s,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-HA-L-S.JPG
STG-2521-WP-HA-R-B,Summit- 25x21 Wall Horiz Adj- RIGHT- BLK,SUMMIT 25x21mm,Wall Plate - Horizontal Adjustable (Right),Black,12.53,https://glassoutletonline.com.au/product/-/stg-2521-wp-ha-r-b,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-HA-R-B.JPG
STG-2521-WP-HA-R-P,Summit- 25x21 Wall Horiz Adj- RIGHT- POL,SUMMIT 25x21mm,Wall Plate - Horizontal Adjustable (Right),Polished,11.25,https://glassoutletonline.com.au/product/-/stg-2521-wp-ha-r-p,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-HA-R-P.JPG
STG-2521-WP-HA-R-S,Summit-25x21 Wall Horiz Adj- RIGHT-SATIN,SUMMIT 25x21mm,Wall Plate - Horizontal Adjustable (Right),Satin,11.25,https://glassoutletonline.com.au/product/-/stg-2521-wp-ha-r-s,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-HA-R-S.JPG
STG-2521-WP-MW,SUMMIT 25x21mm Wall Plate - WHITE,SUMMIT 25x21mm,Wall Plate,Matte White,10.82,https://glassoutletonline.com.au/product/-/stg-2521-wp-mw,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-MW.JPG
