sku,description,product_family,colour,price_aud_ex_gst,supplier_url,image_url
MAD-SDC-B,MADRID - Domical Cover - BLACK,MADRID,Black,5.79,https://glassoutletonline.com.au/product/madrid--domical-cover--black/mad-sdc-b,https://glassoutletonline.com.au/pictures/resized/250x250/MAD-SDC-B.JPG
MAD-SDC-MW,MADRID - Domical Cover - WHITE,MADRID,Matte White,6.90,https://glassoutletonline.com.au/product/madrid--domical-cover--white/mad-sdc-mw,https://glassoutletonline.com.au/pictures/resized/250x250/MAD-SDC-MW.JPG
MAD-SDC-P,MADRID - Slim Domical Cover - POLISH,MADRID,Polished,4.67,https://glassoutletonline.com.au/product/madrid--slim-domical-cover--polish/mad-sdc-p,https://glassoutletonline.com.au/pictures/resized/250x250/MAD-SDC-P.JPG
MAD-SDC-S,MADRID - Slim Domical Cover - SATIN,MADRID,Satin,4.67,https://glassoutletonline.com.au/product/madrid--slim-domical-cover--satin/mad-sdc-s,https://glassoutletonline.com.au/pictures/resized/250x250/MAD-SDC-S.JPG
